Stage	total_cycles	pim_cycles	mem_bw_util	
A	20238	0	64.741761	
B	38311	16492	36.009240	
C	73368	14300	72.760349	
D	73944	16853	72.362954	
E	56874	14428	70.823443	
F	52050	0	76.296710	
