Stage	total_cycles	pim_cycles	mem_bw_util	
A	60556	0	61.260548	
B	68727	25562	54.671654	
C	237133	17905	64.098892	
D	237552	23488	64.075155	
E	173209	17938	66.337741	
F	175266	0	65.407545	
