StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
365000	13	9792	1024	9792000000	1024000000	256	256000000	
366000	13	27968	0	27968000000	0	512	512000000	
367000	13	24704	0	24704000000	0	1024	1024000000	
368000	13	27712	0	27712000000	0	640	640000000	
369000	13	25024	2176	25024000000	2176000000	896	896000000	
370000	13	27392	1024	27392000000	1024000000	768	768000000	
371000	13	24832	0	24832000000	0	896	896000000	
372000	13	27712	0	27712000000	0	640	640000000	
373000	13	28416	448	28416000000	448000000	512	512000000	
374000	13	30912	64	30912000000	64000000	0	0	
375000	13	15872	2304	15872000000	2304000000	0	0	
376000	13	0	1216	0	1216000000	0	0	
377000	13	0	192	0	192000000	256	256000000	
378000	13	0	0	0	0	192	192000000	
379000	13	0	0	0	0	384	384000000	
380000	13	0	0	0	0	192	192000000	
381000	13	0	1024	0	1024000000	384	384000000	
382000	13	17472	0	17472000000	0	192	192000000	
383000	13	23424	0	23424000000	0	384	384000000	
384000	13	22016	0	22016000000	0	256	256000000	
385000	13	22400	0	22400000000	0	384	384000000	
386000	13	26048	22016	26048000000	22016000000	192	192000000	
387000	13	25920	0	25920000000	0	320	320000000	
388000	13	25920	0	25920000000	0	192	192000000	
389000	13	24512	0	24512000000	0	384	384000000	
390000	13	25344	16384	25344000000	16384000000	256	256000000	
391000	13	28288	0	28288000000	0	128	128000000	
392000	13	20800	37120	20800000000	37120000000	0	0	
393000	13	0	55552	0	55552000000	0	0	
394000	13	0	0	0	0	0	0	
395000	13	0	0	0	0	0	0	
396000	13	20288	0	20288000000	0	0	0	
397000	13	23616	0	23616000000	0	0	0	
398000	13	27648	0	27648000000	0	0	0	
399000	13	27520	1024	27520000000	1024000000	0	0	
400000	13	28224	9216	28224000000	9216000000	0	0	
401000	13	4288	45568	4288000000	45568000000	0	0	
402000	13	0	64000	0	64000000000	0	0	
403000	13	0	11264	0	11264000000	0	0	
404000	13	1024	0	1024000000	0	0	0	
405000	13	31168	0	31168000000	0	0	0	
406000	13	31872	0	31872000000	0	0	0	
407000	13	23232	0	23232000000	0	0	0	
408000	13	31936	0	31936000000	0	0	0	
409000	13	28416	0	28416000000	0	0	0	
410000	13	31872	0	31872000000	0	0	0	
411000	13	31488	0	31488000000	0	0	0	
412000	13	30848	0	30848000000	0	0	0	
413000	13	20864	0	20864000000	0	0	0	
414000	13	31680	0	31680000000	0	0	0	
415000	13	31296	0	31296000000	0	0	0	
416000	13	31936	0	31936000000	0	0	0	
417000	13	31488	0	31488000000	0	0	0	
418000	13	31872	0	31872000000	0	0	0	
419000	13	31488	0	31488000000	0	0	0	
420000	13	31872	0	31872000000	0	0	0	
421000	13	31488	0	31488000000	0	0	0	
422000	13	31936	0	31936000000	0	0	0	
423000	13	31424	0	31424000000	0	0	0	
424000	13	31936	0	31936000000	0	0	0	
425000	13	31488	0	31488000000	0	0	0	
426000	13	31936	0	31936000000	0	0	0	
427000	13	31488	0	31488000000	0	0	0	
428000	13	31808	0	31808000000	0	0	0	
429000	13	31424	0	31424000000	0	0	0	
430000	13	31424	0	31424000000	0	0	0	
431000	13	31936	0	31936000000	0	0	0	
432000	13	31488	0	31488000000	0	0	0	
433000	13	32000	0	32000000000	0	0	0	
434000	13	31488	0	31488000000	0	0	0	
435000	13	31872	0	31872000000	0	0	0	
436000	13	31424	0	31424000000	0	0	0	
437000	13	31872	0	31872000000	0	0	0	
438000	13	31488	0	31488000000	0	0	0	
439000	13	31936	3072	31936000000	3072000000	0	0	
440000	13	31360	0	31360000000	0	0	0	
441000	13	31808	0	31808000000	0	0	0	
442000	13	26368	0	26368000000	0	0	0	
443000	13	3904	0	3904000000	0	0	0	
444000	13	0	0	0	0	0	0	
445000	13	0	0	0	0	0	0	
446000	13	0	0	0	0	0	0	
447000	13	0	0	0	0	0	0	
448000	13	0	0	0	0	0	0	
449000	13	0	0	0	0	0	0	
450000	13	0	0	0	0	0	0	
451000	13	0	0	0	0	0	0	
452000	13	0	0	0	0	0	0	
453000	13	0	0	0	0	0	0	
454000	13	0	0	0	0	0	0	
455000	13	0	0	0	0	0	0	
456000	13	0	0	0	0	0	0	
457000	13	0	0	0	0	0	0	
458000	13	0	0	0	0	0	0	
459000	13	0	0	0	0	0	0	
460000	13	0	0	0	0	0	0	
461000	13	0	0	0	0	0	0	
462000	13	0	0	0	0	0	0	
463000	13	0	0	0	0	0	0	
464000	13	0	0	0	0	0	0	
465000	13	0	0	0	0	0	0	
466000	13	0	0	0	0	0	0	
467000	13	0	0	0	0	0	0	
468000	13	0	0	0	0	0	0	
469000	13	0	0	0	0	0	0	
470000	13	7552	1024	7552000000	1024000000	0	0	
471000	13	24000	31488	24000000000	31488000000	0	0	
472000	13	14464	1280	14464000000	1280000000	0	0	
473000	13	27648	0	27648000000	0	0	0	
474000	13	26304	0	26304000000	0	0	0	
475000	13	31424	0	31424000000	0	0	0	
476000	13	31808	0	31808000000	0	0	0	
477000	13	31424	0	31424000000	0	0	0	
478000	13	31872	0	31872000000	0	0	0	
479000	13	31424	0	31424000000	0	0	0	
480000	13	31872	0	31872000000	0	0	0	
481000	13	31488	0	31488000000	0	0	0	
482000	13	29888	0	29888000000	0	0	0	
483000	13	30848	0	30848000000	0	0	0	
484000	13	31808	0	31808000000	0	0	0	
485000	13	31040	0	31040000000	0	0	0	
486000	13	31872	0	31872000000	0	0	0	
487000	13	31424	0	31424000000	0	0	0	
488000	13	31872	0	31872000000	0	0	0	
489000	13	31424	0	31424000000	0	0	0	
490000	13	32000	0	32000000000	0	0	0	
491000	13	31360	0	31360000000	0	0	0	
492000	13	31936	0	31936000000	0	0	0	
493000	13	31488	0	31488000000	0	0	0	
494000	13	31808	0	31808000000	0	0	0	
495000	13	31488	0	31488000000	0	0	0	
496000	13	32000	0	32000000000	0	0	0	
497000	13	31424	0	31424000000	0	0	0	
498000	13	32000	0	32000000000	0	0	0	
499000	13	31424	0	31424000000	0	0	0	
500000	13	32000	0	32000000000	0	0	0	
