Stage	total_cycles	pim_cycles	mem_bw_util	
A	17740	0	48.404383	
B	38553	30134	24.506523	
C	88558	27487	42.199251	
D	72758	31517	51.874966	
E	59379	27755	48.474840	
F	54479	0	51.937788	
