Stage	total_cycles	pim_cycles	mem_bw_util	
A	33060	0	83.909369	
B	44889	28699	64.048820	
C	137648	14256	81.535284	
D	138856	29562	81.221913	
E	105009	14161	80.460960	
F	97460	0	86.220437	
