Stage	total_cycles	pim_cycles	mem_bw_util	
A	21802	0	70.830371	
B	124621	85118	15.522213	
C	108485	43892	59.866341	
D	135409	92426	49.737370	
E	90468	42879	54.736136	
F	55810	0	86.014043	
