Stage	total_cycles	pim_cycles	mem_bw_util	
A	20238	0	64.741761	
B	20131	5527	65.641610	
C	68604	4899	77.094083	
D	67294	5698	78.650121	
E	49549	5090	80.298669	
F	50044	0	79.355043	
