StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
40000	23	1344	0	1344000000	0	0	0	
41000	23	28800	0	28800000000	0	768	768000000	
42000	23	30912	256	30912000000	256000000	0	0	
43000	23	31808	0	31808000000	0	0	0	
44000	23	30848	1024	30848000000	1024000000	0	0	
45000	23	8384	0	8384000000	0	0	0	
46000	23	14656	3584	14656000000	3584000000	0	0	
47000	23	14464	12800	14464000000	12800000000	0	0	
48000	23	31168	0	31168000000	0	0	0	
49000	23	31808	0	31808000000	0	0	0	
50000	23	29760	896	29760000000	896000000	64	64000000	
51000	23	23744	64	23744000000	64000000	384	384000000	
52000	23	26816	0	26816000000	0	192	192000000	
53000	23	21440	0	21440000000	0	384	384000000	
54000	23	26112	0	26112000000	0	192	192000000	
55000	23	31744	0	31744000000	0	64	64000000	
56000	23	30912	64	30912000000	64000000	0	0	
57000	23	31808	0	31808000000	0	0	0	
58000	23	30912	0	30912000000	0	0	0	
59000	23	31936	0	31936000000	0	0	0	
60000	23	31232	0	31232000000	0	0	0	
61000	23	31872	0	31872000000	0	0	0	
62000	23	31360	256	31360000000	256000000	0	0	
63000	23	31936	0	31936000000	0	0	0	
64000	23	31104	0	31104000000	0	0	0	
65000	23	22528	0	22528000000	0	0	0	
66000	23	0	0	0	0	0	0	
67000	23	0	0	0	0	0	0	
68000	23	0	0	0	0	0	0	
69000	23	0	0	0	0	0	0	
70000	23	0	0	0	0	0	0	
71000	23	0	0	0	0	0	0	
72000	23	0	0	0	0	0	0	
73000	23	3584	2240	3584000000	2240000000	0	0	
74000	23	22144	1856	22144000000	1856000000	0	0	
75000	23	31808	0	31808000000	0	0	0	
76000	23	31424	0	31424000000	0	0	0	
77000	23	32000	0	32000000000	0	0	0	
78000	23	31360	0	31360000000	0	0	0	
79000	23	31040	0	31040000000	0	0	0	
80000	23	31936	0	31936000000	0	0	0	
81000	23	31296	0	31296000000	0	0	0	
82000	23	31936	0	31936000000	0	0	0	
83000	23	31552	0	31552000000	0	0	0	
84000	23	31872	256	31872000000	256000000	0	0	
85000	23	31616	0	31616000000	0	0	0	
86000	23	31872	0	31872000000	0	0	0	
87000	23	31488	0	31488000000	0	0	0	
88000	23	32000	0	32000000000	0	0	0	
89000	23	31296	0	31296000000	0	0	0	
90000	23	30912	0	30912000000	0	0	0	
91000	23	1344	0	1344000000	0	0	0	
92000	23	0	0	0	0	0	0	
93000	23	0	0	0	0	0	0	
94000	23	9792	2816	9792000000	2816000000	0	0	
95000	23	13824	5632	13824000000	5632000000	0	0	
96000	23	24384	7936	24384000000	7936000000	0	0	
97000	23	31104	0	31104000000	0	0	0	
98000	23	31744	0	31744000000	0	0	0	
99000	23	31360	0	31360000000	0	0	0	
100000	23	31936	0	31936000000	0	0	0	
101000	23	31424	0	31424000000	0	0	0	
102000	23	31936	0	31936000000	0	0	0	
103000	23	31360	0	31360000000	0	0	0	
104000	23	29248	0	29248000000	0	0	0	
105000	23	31360	0	31360000000	0	0	0	
106000	23	31872	0	31872000000	0	0	0	
107000	23	31360	256	31360000000	256000000	0	0	
108000	23	31936	0	31936000000	0	0	0	
109000	23	1664	0	1664000000	0	0	0	
110000	23	0	0	0	0	0	0	
111000	23	0	0	0	0	0	0	
112000	23	0	0	0	0	0	0	
113000	23	0	0	0	0	0	0	
114000	23	0	0	0	0	0	0	
