Stage	total_cycles	pim_cycles	mem_bw_util	
A	20238	0	64.741761	
B	25319	8567	52.898268	
C	67827	6755	78.134353	
D	68012	8548	78.082636	
E	53684	6543	74.312295	
F	48594	0	81.722924	
