Stage	total_cycles	pim_cycles	mem_bw_util	
A	29222	0	89.632597	
B	30124	3407	87.134428	
C	117330	2231	89.654820	
D	120704	2943	87.164417	
E	88465	2311	89.300218	
F	89553	0	88.173972	
