OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.rn	211003	212364	1361	640	0	0	0	536640	532480	394298310066	391241734019	785540044085	0	0.000000	
layer0.ffn.swish	226002	227023	1021	128	0	0	0	532480	532480	521527913809	521527913809	1043055827619	0	0.000000	
layer0.ffn.res	243911	245938	2027	128	0	0	0	1064960	532480	525387271830	262693635915	788080907745	0	0.000000	
layer0.ffn.fc1	212364	226002	13638	7952	0	0	0	8930624	32832	654833846605	2407391113	657241237718	536870912	4.120724	
layer0.attn.proj	205071	209010	3939	2266	0	0	0	2232896	32832	566868748413	8335110434	575203858847	134217728	3.615181	
layer0.ffn.fc2	227023	243911	16888	8206	0	0	0	8930624	32832	528814779725	1944102321	530758882046	536870912	3.993176	
layer0.attn.res	209010	211003	1993	128	0	0	0	1064960	532480	534350225790	267175112895	801525338685	0	0.000000	
