Stage	total_cycles	pim_cycles	mem_bw_util	
A	12057	0	64.240172	
B	53774	40060	18.396786	
C	68665	26084	48.947244	
D	60936	42434	57.135253	
E	47319	25788	54.658409	
F	36863	0	67.610985	
