Stage	total_cycles	pim_cycles	mem_bw_util	
A	17740	0	48.404383	
B	75631	52688	15.017569	
C	78328	34489	48.508037	
D	84484	55427	46.935662	
E	61703	34100	47.661277	
F	53567	0	52.822050	
