Stage	total_cycles	pim_cycles	mem_bw_util	
A	18454	0	50.910033	
B	105738	78374	12.797788	
C	85998	48878	49.540396	
D	108217	80667	41.675060	
E	78972	47837	42.050743	
F	57416	0	54.979775	
