Stage	total_cycles	pim_cycles	mem_bw_util	
A	34260	0	54.375182	
B	58233	47317	33.768224	
C	139711	42545	56.177126	
D	142605	47140	55.342598	
E	112053	42230	53.418472	
F	94963	0	62.400290	
