Stage	total_cycles	pim_cycles	mem_bw_util	
A	33060	0	83.909369	
B	35187	5759	79.163825	
C	125599	4559	89.046688	
D	129382	5167	86.476964	
E	95648	4818	87.927936	
F	95079	0	88.379597	
