Stage	total_cycles	pim_cycles	mem_bw_util	
A	21802	0	70.830371	
B	32383	22179	49.150403	
C	85185	21118	74.830736	
D	88534	23080	72.199522	
E	73724	20437	65.517335	
F	60613	0	79.198254	
