Stage	total_cycles	pim_cycles	mem_bw_util	
A	8548	0	76.713120	
B	24020	7702	28.811147	
C	51053	12589	53.439318	
D	44534	7994	60.646220	
E	38992	12639	53.151287	
F	23763	0	84.532414	
