OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.ffn.fc1	313298	353044	39746	26489	0	0	0	18911872	131328	475818245861	3304181552	479122427414	2147483648	4.948167	
layer0.ffn.swish	353044	354960	1916	256	0	0	0	1064960	1064960	555824634655	555824634655	1111649269311	0	0.000000	
layer0.attn.res	298402	307327	8925	256	0	0	0	4227072	2106560	473621512605	236029131652	709650644257	0	0.000000	
layer0.attn.rn	400425	406074	5649	1280	0	0	0	2121792	2113536	375604885820	374143388210	749748274030	0	0.000000	
layer0.attn.QKVgen	406074	438866	32792	21774	0	0	0	14709376	131328	448565991705	4004879238	452570870944	1610612736	4.514742	
layer0.ffn.rn	307327	313298	5971	1280	0	0	0	2121792	2113536	355349522693	353966839725	709316362418	0	0.000000	
layer0.ffn.res	393331	400425	7094	256	0	0	0	4227072	2113536	595865802086	297932901043	893798703129	0	0.000000	
layer0.attn.proj	289860	298402	8542	6913	0	0	0	4465792	131328	522804027159	15374385389	538178412549	536870912	4.740055	
layer0.ffn.fc2	354960	393331	38371	23667	0	0	0	17861248	131328	465488207239	3422584764	468910792004	2147483648	5.538176	
