OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.attn.NeuPIMSAttend	468281	514113	45832	200	0	0	0	0	26752	0	583696980	583696980	0	0.000000	
layer0.attn.NeuPIMSLogitSoftmax	435693	468281	32588	11239	0	0	0	0	450752	0	13831839941	13831839941	0	0.000000	
