Stage	total_cycles	pim_cycles	mem_bw_util	
A	34260	0	54.375182	
B	106839	83638	20.539199	
C	142312	55607	55.796858	
D	148860	88178	54.548611	
E	108039	56705	56.254397	
F	96468	0	61.426781	
