Stage	total_cycles	pim_cycles	mem_bw_util	
A	12057	0	64.240172	
B	122860	96451	11.006379	
C	86412	42386	40.238335	
D	122645	96434	31.346875	
E	84840	40981	31.854741	
F	34384	0	72.485567	
