StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
43000	10	15744	128	15744000000	128000000	768	768000000	
44000	10	28736	64	28736000000	64000000	384	384000000	
45000	10	30528	1408	30528000000	1408000000	64	64000000	
46000	10	24896	0	24896000000	0	256	256000000	
47000	10	24960	0	24960000000	0	320	320000000	
48000	10	7552	0	7552000000	0	256	256000000	
49000	10	0	0	0	0	320	320000000	
50000	10	1472	0	1472000000	0	256	256000000	
51000	10	21696	8704	21696000000	8704000000	320	320000000	
52000	10	9280	4096	9280000000	4096000000	192	192000000	
53000	10	0	0	0	0	320	320000000	
54000	10	8512	3584	8512000000	3584000000	256	256000000	
55000	10	19968	16384	19968000000	16384000000	0	0	
56000	10	24192	0	24192000000	0	0	0	
57000	10	31936	0	31936000000	0	0	0	
58000	10	31488	0	31488000000	0	0	0	
59000	10	31936	0	31936000000	0	0	0	
60000	10	31424	0	31424000000	0	0	0	
61000	10	31872	0	31872000000	0	0	0	
62000	10	31424	0	31424000000	0	0	0	
63000	10	29760	0	29760000000	0	0	0	
64000	10	31168	0	31168000000	0	0	0	
65000	10	31872	0	31872000000	0	0	0	
66000	10	31360	0	31360000000	0	0	0	
67000	10	31936	0	31936000000	0	0	0	
68000	10	31360	0	31360000000	0	0	0	
69000	10	31872	0	31872000000	0	0	0	
70000	10	31296	512	31296000000	512000000	0	0	
71000	10	31808	0	31808000000	0	0	0	
72000	10	27328	0	27328000000	0	0	0	
73000	10	5824	0	5824000000	0	0	0	
74000	10	0	0	0	0	0	0	
75000	10	0	0	0	0	0	0	
76000	10	0	0	0	0	0	0	
77000	10	8192	7296	8192000000	7296000000	0	0	
78000	10	24704	896	24704000000	896000000	0	0	
79000	10	30592	0	30592000000	0	0	0	
80000	10	25280	0	25280000000	0	0	0	
81000	10	31296	0	31296000000	0	0	0	
82000	10	31872	0	31872000000	0	0	0	
83000	10	31424	0	31424000000	0	0	0	
84000	10	31808	0	31808000000	0	0	0	
85000	10	31488	0	31488000000	0	0	0	
86000	10	31936	0	31936000000	0	0	0	
87000	10	31424	0	31424000000	0	0	0	
88000	10	31808	0	31808000000	0	0	0	
89000	10	31360	0	31360000000	0	0	0	
90000	10	31936	0	31936000000	0	0	0	
91000	10	31360	512	31360000000	512000000	0	0	
92000	10	31936	0	31936000000	0	0	0	
93000	10	22144	0	22144000000	0	0	0	
94000	10	32000	0	32000000000	0	0	0	
95000	10	18112	0	18112000000	0	0	0	
96000	10	0	0	0	0	0	0	
97000	10	10304	0	10304000000	0	0	0	
98000	10	23744	16384	23744000000	16384000000	0	0	
99000	10	15104	0	15104000000	0	0	0	
100000	10	19968	16384	19968000000	16384000000	0	0	
101000	10	27840	0	27840000000	0	0	0	
102000	10	31872	0	31872000000	0	0	0	
103000	10	31360	0	31360000000	0	0	0	
104000	10	31872	0	31872000000	0	0	0	
105000	10	27328	0	27328000000	0	0	0	
106000	10	32000	0	32000000000	0	0	0	
107000	10	31424	0	31424000000	0	0	0	
108000	10	31872	0	31872000000	0	0	0	
109000	10	31424	512	31424000000	512000000	0	0	
110000	10	31808	0	31808000000	0	0	0	
111000	10	31296	0	31296000000	0	0	0	
112000	10	31936	0	31936000000	0	0	0	
113000	10	17856	0	17856000000	0	0	0	
114000	10	0	0	0	0	0	0	
115000	10	0	0	0	0	0	0	
116000	10	0	0	0	0	0	0	
117000	10	0	0	0	0	0	0	
118000	10	0	0	0	0	0	0	
119000	10	0	0	0	0	0	0	
120000	10	0	0	0	0	0	0	
