StartCycle	NumCalculations	
0	259072	
1001	1476608	
2002	552960	
3003	0	
4004	0	
5005	51200	
6006	1284096	
7007	0	
8008	1140736	
9009	133120	
10010	452608	
11011	1558528	
12012	1167360	
13013	2050048	
14014	2050048	
15015	2050048	
16016	2050048	
17017	2050048	
18018	2050048	
19019	2050048	
20020	2050048	
21021	496640	
22022	1414720	
23023	1133088	
24024	1760	
25025	403024	
26026	638976	
27027	1269760	
28028	501760	
29029	149504	
30030	978944	
31031	681984	
32032	552960	
33033	0	
34034	28672	
35035	2050048	
36036	2050048	
37037	2050048	
38038	2050048	
39039	2050048	
40040	2050048	
41041	2050048	
42042	2050048	
43043	2050048	
44044	1531904	
45045	8960	
46046	644752	
47047	2050048	
48048	915456	
49049	0	
50050	944128	
51051	2050048	
52052	245776	
53053	32	
54054	784	
55055	5312	
56056	1267712	
57057	36864	
58058	1048576	
59059	253952	
60060	0	
61061	1075200	
62062	0	
63063	585728	
64064	1132544	
65065	2050048	
66066	2035712	
67067	2050048	
68068	2050048	
69069	1445888	
70070	1501184	
71071	2050048	
72072	2050048	
73073	2050048	
74074	2050048	
75075	2050048	
76076	2050048	
77077	1591664	
78078	84624	
79079	1744896	
80080	552960	
81081	0	
82082	0	
83083	20480	
84084	565248	
85085	0	
86086	1007616	
87087	2050048	
88088	2050048	
89089	2050048	
90090	2050048	
91091	894976	
92092	2050048	
93093	2050048	
94094	2050048	
95095	2050048	
96096	2050048	
97097	541200	
98098	496	
99099	5120	
100100	0	
101101	0	
102102	0	
103103	139264	
104104	1689600	
105105	1011712	
106106	0	
107107	0	
108108	1024000	
109109	634880	
110110	1265664	
111111	2050048	
112112	2035712	
113113	2050048	
114114	2050048	
115115	2050048	
116116	2050048	
117117	2050048	
118118	2050048	
119119	1705984	
120120	881600	
121121	656544	
122122	601824	
123123	2022160	
124124	2037760	
125125	1810432	
126126	37152	
127127	608	
128128	128	
129129	5120	
130130	0	
131131	0	
132132	0	
133133	0	
134134	0	
135135	0	
136136	0	
137137	0	
138138	1683456	
139139	1415168	
140140	552960	
141141	1820672	
142142	565248	
143143	2050048	
144144	1918976	
145145	2050048	
146146	587776	
147147	2050048	
148148	2050048	
149149	2050048	
150150	2050048	
151151	2050048	
152152	2050048	
153153	2050048	
154154	1577424	
155155	560	
156156	0	
157157	0	
158158	1736704	
159159	223232	
160160	0	
161161	0	
162162	0	
163163	0	
164164	1945600	
165165	2050048	
166166	2050048	
167167	2050048	
168168	1337344	
169169	946176	
170170	2050048	
171171	1460224	
172172	2050048	
173173	2050048	
174174	2050048	
175175	821248	
176176	1024	
177177	5120	
178178	0	
179179	1140736	
180180	786432	
181181	0	
182182	0	
183183	917504	
184184	253952	
185185	55296	
186186	2025472	
187187	686080	
188188	1601536	
189189	2050048	
190190	911360	
191191	2050048	
192192	2050048	
193193	2050048	
194194	2050048	
195195	2050048	
196196	2050048	
197197	2050048	
198198	1097728	
199199	891280	
200200	569344	
201201	1650688	
202202	1212416	
203203	1710080	
204204	1679360	
205205	446464	
206206	480	
207207	544	
208208	4480	
209209	938624	
210210	595968	
211211	0	
212212	0	
213213	815104	
214214	1105920	
215215	1171456	
216216	0	
217217	552960	
218218	651264	
219219	0	
220220	835584	
221221	1560576	
222222	2050048	
223223	2050048	
224224	2050048	
225225	2050048	
226226	2050048	
227227	2050048	
228228	2050048	
229229	2050048	
230230	2050048	
231231	2050048	
232232	1133568	
233233	1548288	
234234	1236992	
235235	0	
236236	0	
237237	0	
238238	0	
239239	0	
240240	571392	
241241	2050048	
242242	487424	
243243	690176	
244244	2050048	
245245	2050048	
246246	1988608	
247247	604160	
248248	2050048	
249249	2050048	
250250	2050048	
251251	2050048	
252252	2050048	
253253	86704	
254254	336	
255255	0	
256256	514048	
257257	1150976	
258258	290816	
259259	2050048	
260260	2050048	
261261	389728	
262262	416	
263263	5120	
264264	1163264	
265265	763904	
266266	0	
267267	0	
268268	552960	
269269	65536	
270270	618496	
271271	1105920	
272272	0	
273273	0	
274274	1423360	
275275	2050048	
276276	2050048	
277277	2050048	
278278	1015808	
279279	2050048	
280280	2050048	
281281	1951744	
282282	2050048	
283283	2050048	
284284	2050048	
285285	2050048	
286286	1460976	
287287	196880	
288288	1599488	
289289	0	
290290	0	
291291	0	
292292	0	
293293	0	
294294	1138688	
295295	1138688	
296296	552960	
297297	0	
298298	1996800	
299299	2050048	
300300	2050048	
301301	747520	
302302	1738752	
303303	2050048	
304304	2050048	
305305	2050048	
306306	2050048	
307307	2050048	
308308	1441952	
309309	704	
310310	160	
