Stage	total_cycles	pim_cycles	mem_bw_util	
A	21264	0	65.286106	
B	22959	11156	61.471536	
C	75734	10380	74.601071	
D	78448	11568	72.136798	
E	56151	10245	75.910269	
F	56248	0	75.516352	
