Stage	total_cycles	pim_cycles	mem_bw_util	
A	29222	0	89.632597	
B	36155	12738	73.633833	
C	126521	10486	83.386207	
D	124308	11929	84.938017	
E	93979	10070	84.389664	
F	86984	0	90.778117	
