Stage	total_cycles	pim_cycles	mem_bw_util	
A	8548	0	76.713120	
B	11824	5069	56.585652	
C	41196	4865	64.875989	
D	38660	5208	69.265229	
E	24988	4227	80.715243	
F	31822	0	63.124372	
