Stage	total_cycles	pim_cycles	mem_bw_util	
A	21264	0	65.286106	
B	67993	38627	22.926165	
C	81962	20722	69.667117	
D	85493	40406	67.917403	
E	59991	20782	72.041014	
F	52318	0	81.188955	
