Stage	total_cycles	pim_cycles	mem_bw_util	
A	11277	0	61.660348	
B	29037	17448	27.102705	
C	48729	15832	60.122822	
D	48980	18140	60.369666	
E	41265	15417	54.147583	
F	28679	0	75.663159	
