Stage	total_cycles	pim_cycles	mem_bw_util	
A	35917	0	85.854714	
B	74509	58967	44.212109	
C	157108	26021	80.077160	
D	163694	62160	77.650067	
E	121817	25398	77.962333	
F	101499	0	92.775729	
