OpName	StartCycle	EndCycle	TotalCycle	ComputeCycles	MemoryStalls	WeightLoadCycles	SystolicMemoryStalls	MemoryReads	MemoryWrites	ReadBandwidth	WriteBandwidth	TotalMemoryBandwidth	NumCalculation	NpuUtilization	
layer0.attn.rn	35915	39598	3683	640	0	0	0	2121792	2105344	576104262829	571638338311	1147742601140	0	0.000000	
layer0.attn.QKVgen	39598	81417	41819	25505	0	0	0	27316544	32832	653208924173	785097682	653994021856	1610612736	3.854303	
