Stage	total_cycles	pim_cycles	mem_bw_util	
A	18454	0	50.910033	
B	224798	191516	9.323259	
C	120949	71817	36.610317	
D	226528	192820	23.187531	
E	117051	70217	29.803355	
F	56393	0	55.977138	
