Stage	total_cycles	pim_cycles	mem_bw_util	
A	32390	0	52.648773	
B	96899	67997	20.470606	
C	132345	40309	54.293277	
D	137119	72450	53.611462	
E	101610	40514	53.930223	
F	91360	0	58.757867	
