StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
376000	9	10304	512	10304000000	512000000	384	384000000	
377000	9	23296	0	23296000000	0	1536	1536000000	
378000	9	26880	1024	26880000000	1024000000	1024	1024000000	
379000	9	24000	512	24000000000	512000000	1344	1344000000	
380000	9	26496	1024	26496000000	1024000000	1088	1088000000	
381000	9	24128	64	24128000000	64000000	1536	1536000000	
382000	9	2112	0	2112000000	0	768	768000000	
383000	9	0	128	0	128000000	1536	1536000000	
384000	9	0	576	0	576000000	768	768000000	
385000	9	13312	576	13312000000	576000000	1536	1536000000	
386000	9	26048	3584	26048000000	3584000000	896	896000000	
387000	9	25216	3840	25216000000	3840000000	1408	1408000000	
388000	9	29440	17984	29440000000	17984000000	384	384000000	
389000	9	4288	19136	4288000000	19136000000	0	0	
390000	9	0	960	0	960000000	0	0	
391000	9	0	0	0	0	0	0	
392000	9	1152	6592	1152000000	6592000000	0	0	
393000	9	39744	896	39744000000	896000000	0	0	
394000	9	20864	17984	20864000000	17984000000	0	0	
395000	9	8576	30912	8576000000	30912000000	0	0	
396000	9	26176	0	26176000000	0	0	0	
397000	9	29952	0	29952000000	0	0	0	
398000	9	27776	3648	27776000000	3648000000	0	0	
399000	9	27840	0	27840000000	0	0	0	
400000	9	31744	0	31744000000	0	0	0	
401000	9	24960	0	24960000000	0	0	0	
402000	9	31808	0	31808000000	0	0	0	
403000	9	31552	4416	31552000000	4416000000	0	0	
404000	9	24576	0	24576000000	0	320	320000000	
405000	9	27264	0	27264000000	0	192	192000000	
406000	9	20928	0	20928000000	0	384	384000000	
407000	9	24512	0	24512000000	0	192	192000000	
408000	9	20992	0	20992000000	0	384	384000000	
409000	9	23872	0	23872000000	0	128	128000000	
410000	9	17472	0	17472000000	0	384	384000000	
411000	9	28288	0	28288000000	0	128	128000000	
412000	9	20352	0	20352000000	0	384	384000000	
413000	9	26176	2560	26176000000	2560000000	192	192000000	
414000	9	23872	0	23872000000	0	384	384000000	
415000	9	27648	0	27648000000	0	128	128000000	
416000	9	22976	0	22976000000	0	384	384000000	
417000	9	20032	0	20032000000	0	128	128000000	
418000	9	4096	64	4096000000	64000000	384	384000000	
419000	9	0	0	0	0	256	256000000	
420000	9	0	0	0	0	320	320000000	
421000	9	0	0	0	0	256	256000000	
422000	9	0	192	0	192000000	384	384000000	
423000	9	0	0	0	0	192	192000000	
424000	9	0	0	0	0	384	384000000	
425000	9	0	0	0	0	256	256000000	
426000	9	0	0	0	0	320	320000000	
427000	9	0	0	0	0	192	192000000	
428000	9	0	0	0	0	384	384000000	
429000	9	0	0	0	0	256	256000000	
430000	9	0	0	0	0	320	320000000	
431000	9	0	64	0	64000000	64	64000000	
432000	9	0	0	0	0	0	0	
433000	9	0	0	0	0	0	0	
434000	9	0	0	0	0	0	0	
435000	9	0	0	0	0	0	0	
436000	9	3712	512	3712000000	512000000	0	0	
437000	9	20864	13248	20864000000	13248000000	0	0	
438000	9	19968	11392	19968000000	11392000000	0	0	
439000	9	30720	256	30720000000	256000000	0	0	
440000	9	25152	0	25152000000	0	0	0	
441000	9	31936	0	31936000000	0	0	0	
442000	9	31488	0	31488000000	0	0	0	
443000	9	31936	0	31936000000	0	0	0	
444000	9	31552	0	31552000000	0	0	0	
445000	9	31872	0	31872000000	0	0	0	
446000	9	31488	0	31488000000	0	0	0	
447000	9	31936	0	31936000000	0	0	0	
448000	9	31488	0	31488000000	0	0	0	
449000	9	31872	2560	31872000000	2560000000	0	0	
450000	9	31424	0	31424000000	0	0	0	
451000	9	32000	0	32000000000	0	0	0	
452000	9	31424	0	31424000000	0	0	0	
453000	9	31936	0	31936000000	0	0	0	
454000	9	31424	0	31424000000	0	0	0	
455000	9	29248	0	29248000000	0	0	0	
456000	9	0	0	0	0	0	0	
457000	9	0	0	0	0	0	0	
458000	9	0	0	0	0	0	0	
459000	9	0	0	0	0	0	0	
460000	9	0	0	0	0	0	0	
461000	9	0	0	0	0	0	0	
462000	9	0	0	0	0	0	0	
463000	9	0	0	0	0	0	0	
464000	9	0	0	0	0	0	0	
465000	9	0	0	0	0	0	0	
466000	9	0	0	0	0	0	0	
467000	9	0	0	0	0	0	0	
468000	9	6080	512	6080000000	512000000	0	0	
469000	9	31040	0	31040000000	0	0	0	
470000	9	31872	15872	31872000000	15872000000	0	0	
471000	9	28480	29056	28480000000	29056000000	0	0	
472000	9	832	3968	832000000	3968000000	0	0	
473000	9	0	256	0	256000000	0	0	
