Stage	total_cycles	pim_cycles	mem_bw_util	
A	17740	0	48.404383	
B	160306	136665	10.451457	
C	112301	57353	35.268386	
D	161078	137991	27.967429	
E	109498	56193	28.329399	
F	53064	0	53.322756	
