Stage	total_cycles	pim_cycles	mem_bw_util	
A	35917	0	85.854714	
B	43826	27294	72.321653	
C	149046	15140	84.087673	
D	151133	26731	83.279132	
E	112542	16119	83.962265	
F	109151	0	86.271713	
