Stage	total_cycles	pim_cycles	mem_bw_util	
A	34260	0	54.375182	
B	219549	181545	12.351542	
C	161341	79291	49.867594	
D	230874	190096	37.411775	
E	157345	78139	39.309519	
F	92278	0	64.215943	
