StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
781000	31	23104	0	23104000000	0	0	0	
782000	31	31872	0	31872000000	0	0	0	
783000	31	31360	2048	31360000000	2048000000	0	0	
784000	31	31680	0	31680000000	0	0	0	
785000	31	21248	0	21248000000	0	0	0	
786000	31	0	0	0	0	0	0	
787000	31	0	0	0	0	0	0	
788000	31	1088	2048	1088000000	2048000000	0	0	
789000	31	31104	0	31104000000	0	0	0	
790000	31	31808	3072	31808000000	3072000000	0	0	
791000	31	31360	18624	31360000000	18624000000	0	0	
792000	31	31936	28160	31936000000	28160000000	0	0	
793000	31	3776	15680	3776000000	15680000000	0	0	
794000	31	13184	2816	13184000000	2816000000	0	0	
795000	31	15744	11008	15744000000	11008000000	0	0	
796000	31	21632	5376	21632000000	5376000000	0	0	
797000	31	15232	5888	15232000000	5888000000	0	0	
798000	31	0	40448	0	40448000000	0	0	
799000	31	18496	0	18496000000	0	0	0	
800000	31	31744	0	31744000000	0	0	0	
801000	31	31296	0	31296000000	0	0	0	
802000	31	31936	0	31936000000	0	0	0	
803000	31	30336	0	30336000000	0	0	0	
804000	31	30144	0	30144000000	0	0	0	
805000	31	27392	0	27392000000	0	0	0	
806000	31	31936	0	31936000000	0	0	0	
807000	31	29056	0	29056000000	0	0	0	
808000	31	31936	0	31936000000	0	0	0	
809000	31	31360	0	31360000000	0	0	0	
810000	31	31872	0	31872000000	0	0	0	
811000	31	31360	0	31360000000	0	0	0	
812000	31	31936	0	31936000000	0	0	0	
813000	31	31424	0	31424000000	0	0	0	
814000	31	31936	0	31936000000	0	0	0	
815000	31	31360	0	31360000000	0	0	0	
816000	31	31808	3072	31808000000	3072000000	0	0	
817000	31	30208	0	30208000000	0	0	0	
818000	31	12288	0	12288000000	0	0	0	
819000	31	0	0	0	0	0	0	
820000	31	0	0	0	0	0	0	
821000	31	0	0	0	0	0	0	
822000	31	0	0	0	0	0	0	
823000	31	0	0	0	0	0	0	
824000	31	0	0	0	0	0	0	
825000	31	0	0	0	0	0	0	
826000	31	0	0	0	0	0	0	
827000	31	0	0	0	0	0	0	
828000	31	0	0	0	0	0	0	
829000	31	0	0	0	0	0	0	
830000	31	0	0	0	0	0	0	
831000	31	0	0	0	0	0	0	
832000	31	0	0	0	0	0	0	
833000	31	0	0	0	0	0	0	
834000	31	0	640	0	640000000	0	0	
835000	31	24192	18688	24192000000	18688000000	0	0	
836000	31	12352	14464	12352000000	14464000000	0	0	
837000	31	31552	0	31552000000	0	0	0	
838000	31	21824	0	21824000000	0	0	0	
839000	31	31872	0	31872000000	0	0	0	
840000	31	31360	0	31360000000	0	0	0	
841000	31	26816	0	26816000000	0	0	0	
842000	31	31232	0	31232000000	0	0	0	
843000	31	31936	0	31936000000	0	0	0	
844000	31	21888	0	21888000000	0	0	0	
845000	31	30528	0	30528000000	0	0	0	
846000	31	30336	0	30336000000	0	0	0	
847000	31	31680	0	31680000000	0	0	0	
848000	31	31360	0	31360000000	0	0	0	
849000	31	31872	0	31872000000	0	0	0	
850000	31	31424	3072	31424000000	3072000000	0	0	
851000	31	31936	0	31936000000	0	0	0	
852000	31	31360	0	31360000000	0	0	0	
853000	31	31872	0	31872000000	0	0	0	
854000	31	31168	0	31168000000	0	0	0	
855000	31	11264	0	11264000000	0	0	0	
856000	31	0	0	0	0	0	0	
857000	31	0	0	0	0	0	0	
858000	31	0	0	0	0	0	0	
859000	31	0	0	0	0	0	0	
860000	31	0	0	0	0	0	0	
861000	31	0	0	0	0	0	0	
862000	31	0	0	0	0	0	0	
863000	31	0	0	0	0	0	0	
864000	31	0	0	0	0	0	0	
865000	31	0	0	0	0	0	0	
866000	31	0	0	0	0	0	0	
867000	31	0	0	0	0	0	0	
868000	31	0	0	0	0	0	0	
869000	31	768	1024	768000000	1024000000	0	0	
870000	31	31680	0	31680000000	0	0	0	
871000	31	31296	10816	31296000000	10816000000	0	0	
872000	31	31872	12032	31872000000	12032000000	0	0	
873000	31	31232	35008	31232000000	35008000000	0	0	
874000	31	4224	7680	4224000000	7680000000	0	0	
