Stage	total_cycles	pim_cycles	mem_bw_util	
A	59268	0	57.341124	
B	109693	88660	33.867931	
C	235568	34130	59.202385	
D	235655	91012	60.089485	
E	176470	33533	59.770605	
F	164758	0	63.397946	
