Stage	total_cycles	pim_cycles	mem_bw_util	
A	12057	0	64.240172	
B	25550	20677	32.575342	
C	55462	18596	59.484309	
D	56111	20957	59.252308	
E	40484	18637	62.359512	
F	31482	0	79.167262	
