StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
93000	8	24640	0	24640000000	0	512	512000000	
94000	8	23104	1024	23104000000	1024000000	2048	2048000000	
95000	8	21312	64	21312000000	64000000	640	640000000	
96000	8	6592	64	6592000000	64000000	1728	1728000000	
97000	8	18240	4736	18240000000	4736000000	704	704000000	
98000	8	8576	9792	8576000000	9792000000	0	0	
99000	8	0	64	0	64000000	0	0	
100000	8	2176	3584	2176000000	3584000000	0	0	
101000	8	14336	6336	14336000000	6336000000	0	0	
102000	8	20864	16320	20864000000	16320000000	0	0	
103000	8	23936	0	23936000000	0	128	128000000	
104000	8	24640	0	24640000000	0	384	384000000	
105000	8	28352	0	28352000000	0	128	128000000	
106000	8	23680	1024	23680000000	1024000000	320	320000000	
107000	8	25088	0	25088000000	0	192	192000000	
108000	8	24512	0	24512000000	0	320	320000000	
109000	8	22080	0	22080000000	0	192	192000000	
110000	8	24512	0	24512000000	0	384	384000000	
111000	8	23552	0	23552000000	0	192	192000000	
112000	8	22592	0	22592000000	0	320	320000000	
113000	8	12672	0	12672000000	0	192	192000000	
114000	8	0	0	0	0	320	320000000	
115000	8	832	0	832000000	0	192	192000000	
116000	8	192	0	192000000	0	320	320000000	
117000	8	1024	0	1024000000	0	256	256000000	
118000	8	0	0	0	0	256	256000000	
119000	8	0	0	0	0	0	0	
120000	8	16384	16384	16384000000	16384000000	0	0	
121000	8	25984	0	25984000000	0	0	0	
122000	8	33088	0	33088000000	0	0	0	
123000	8	33280	0	33280000000	0	0	0	
124000	8	33472	0	33472000000	0	0	0	
125000	8	33792	0	33792000000	0	0	0	
126000	8	33600	0	33600000000	0	0	0	
127000	8	29504	1088	29504000000	1088000000	0	0	
128000	8	33408	0	33408000000	0	0	0	
129000	8	31104	0	31104000000	0	0	0	
130000	8	8768	0	8768000000	0	0	0	
131000	8	0	0	0	0	0	0	
132000	8	0	0	0	0	0	0	
133000	8	0	0	0	0	0	0	
134000	8	0	0	0	0	0	0	
135000	8	22016	384	22016000000	384000000	0	0	
136000	8	27200	24192	27200000000	24192000000	0	0	
137000	8	29056	24576	29056000000	24576000000	0	0	
138000	8	30976	0	30976000000	0	0	0	
139000	8	31552	0	31552000000	0	0	0	
140000	8	21760	0	21760000000	0	0	0	
141000	8	31936	1024	31936000000	1024000000	0	0	
142000	8	26176	0	26176000000	0	0	0	
143000	8	31936	0	31936000000	0	0	0	
144000	8	29184	0	29184000000	0	0	0	
145000	8	5184	0	5184000000	0	0	0	
146000	8	0	0	0	0	0	0	
147000	8	0	0	0	0	0	0	
148000	8	0	0	0	0	0	0	
149000	8	0	0	0	0	0	0	
