Stage	total_cycles	pim_cycles	mem_bw_util	
A	21264	0	65.286106	
B	38644	19687	37.867619	
C	78880	16768	72.091943	
D	73530	20173	77.669659	
E	61644	16586	69.742290	
F	53942	0	78.744647	
