Stage	total_cycles	pim_cycles	mem_bw_util	
A	35917	0	85.854714	
B	40179	13132	77.347308	
C	141073	9086	88.704961	
D	147464	11392	84.931619	
E	106827	9153	88.275904	
F	108997	0	86.393605	
