Stage	total_cycles	pim_cycles	mem_bw_util	
A	32390	0	52.648773	
B	185780	140857	12.696032	
C	136415	59900	53.379348	
D	196655	147226	39.290731	
E	107759	60488	51.749158	
F	84893	0	63.233939	
