StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
32000	21	15360	512	15360000000	512000000	768	768000000	
33000	21	26368	18304	26368000000	18304000000	768	768000000	
34000	21	7680	30848	7680000000	30848000000	1152	1152000000	
35000	21	7488	0	7488000000	0	768	768000000	
36000	21	23872	0	23872000000	0	1536	1536000000	
37000	21	13376	0	13376000000	0	960	960000000	
38000	21	25408	0	25408000000	0	1344	1344000000	
39000	21	24320	0	24320000000	0	1152	1152000000	
40000	21	25920	0	25920000000	0	1152	1152000000	
41000	21	23808	0	23808000000	0	1152	1152000000	
42000	21	25280	0	25280000000	0	1152	1152000000	
43000	21	25600	0	25600000000	0	1216	1216000000	
44000	21	25472	0	25472000000	0	1088	1088000000	
45000	21	25280	2560	25280000000	2560000000	1408	1408000000	
46000	21	25920	0	25920000000	0	896	896000000	
47000	21	25728	0	25728000000	0	1152	1152000000	
48000	21	25472	0	25472000000	0	1152	1152000000	
49000	21	23872	0	23872000000	0	1536	1536000000	
50000	21	27264	0	27264000000	0	768	768000000	
51000	21	22336	0	22336000000	0	1536	1536000000	
52000	21	27392	0	27392000000	0	768	768000000	
53000	21	18560	0	18560000000	0	1536	1536000000	
54000	21	0	0	0	0	768	768000000	
55000	21	0	0	0	0	1920	1920000000	
56000	21	0	0	0	0	960	960000000	
57000	21	0	0	0	0	1728	1728000000	
58000	21	0	0	0	0	768	768000000	
59000	21	0	0	0	0	1536	1536000000	
60000	21	0	0	0	0	1152	1152000000	
61000	21	0	0	0	0	1664	1664000000	
62000	21	0	0	0	0	1024	1024000000	
63000	21	0	0	0	0	1856	1856000000	
64000	21	0	0	0	0	960	960000000	
65000	21	0	0	0	0	1792	1792000000	
66000	21	0	0	0	0	1088	1088000000	
67000	21	0	0	0	0	1536	1536000000	
68000	21	0	0	0	0	832	832000000	
69000	21	0	0	0	0	1600	1600000000	
70000	21	0	512	0	512000000	1088	1088000000	
71000	21	0	0	0	0	1792	1792000000	
72000	21	0	0	0	0	896	896000000	
73000	21	0	0	0	0	1920	1920000000	
74000	21	0	0	0	0	960	960000000	
75000	21	0	0	0	0	1344	1344000000	
76000	21	0	0	0	0	1152	1152000000	
77000	21	0	0	0	0	1536	1536000000	
78000	21	0	0	0	0	1152	1152000000	
79000	21	0	0	0	0	1536	1536000000	
80000	21	0	0	0	0	1152	1152000000	
81000	21	0	0	0	0	1536	1536000000	
82000	21	0	0	0	0	1152	1152000000	
83000	21	0	0	0	0	1152	1152000000	
84000	21	0	0	0	0	1472	1472000000	
85000	21	0	0	0	0	1216	1216000000	
86000	21	0	0	0	0	1536	1536000000	
87000	21	0	0	0	0	1152	1152000000	
88000	21	0	1856	0	1856000000	1536	1536000000	
89000	21	0	0	0	0	768	768000000	
90000	21	0	0	0	0	1536	1536000000	
91000	21	0	0	0	0	768	768000000	
92000	21	0	0	0	0	1728	1728000000	
93000	21	0	0	0	0	960	960000000	
94000	21	0	192	0	192000000	1920	1920000000	
95000	21	0	0	0	0	384	384000000	
96000	21	0	0	0	0	0	0	
97000	21	0	0	0	0	0	0	
98000	21	0	1920	0	1920000000	0	0	
99000	21	0	0	0	0	0	0	
100000	21	0	512	0	512000000	0	0	
101000	21	0	0	0	0	0	0	
102000	21	0	0	0	0	0	0	
103000	21	0	0	0	0	0	0	
104000	21	0	0	0	0	0	0	
105000	21	0	0	0	0	0	0	
106000	21	0	0	0	0	0	0	
107000	21	0	0	0	0	0	0	
108000	21	0	0	0	0	0	0	
109000	21	0	0	0	0	0	0	
110000	21	0	0	0	0	0	0	
111000	21	0	0	0	0	0	0	
112000	21	0	2816	0	2816000000	0	0	
113000	21	0	0	0	0	0	0	
114000	21	0	0	0	0	0	0	
115000	21	0	6464	0	6464000000	0	0	
116000	21	0	1088	0	1088000000	0	0	
117000	21	0	0	0	0	0	0	
118000	21	0	0	0	0	0	0	
119000	21	0	0	0	0	0	0	
120000	21	0	0	0	0	0	0	
121000	21	0	0	0	0	0	0	
122000	21	0	0	0	0	0	0	
123000	21	0	0	0	0	0	0	
124000	21	0	0	0	0	0	0	
125000	21	0	0	0	0	0	0	
126000	21	0	0	0	0	0	0	
127000	21	0	39680	0	39680000000	0	0	
128000	21	0	19200	0	19200000000	0	0	
129000	21	0	0	0	0	256	256000000	
130000	21	0	0	0	0	128	128000000	
131000	21	0	0	0	0	384	384000000	
132000	21	0	0	0	0	128	128000000	
133000	21	0	0	0	0	384	384000000	
134000	21	0	0	0	0	256	256000000	
135000	21	0	0	0	0	320	320000000	
136000	21	0	0	0	0	256	256000000	
137000	21	0	0	0	0	384	384000000	
138000	21	0	0	0	0	192	192000000	
139000	21	0	0	0	0	384	384000000	
140000	21	0	0	0	0	256	256000000	
