Stage	total_cycles	pim_cycles	mem_bw_util	
A	33060	0	83.909369	
B	37965	12243	74.079251	
C	127969	6990	87.483101	
D	133545	11892	83.982693	
E	97405	7037	86.454302	
F	97462	0	86.218667	
