Stage	total_cycles	pim_cycles	mem_bw_util	
A	21802	0	70.830371	
B	63590	41841	26.973876	
C	91854	26062	69.793912	
D	105624	44790	61.684844	
E	69784	25835	69.738586	
F	61816	0	77.656978	
