StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
21000	11	4864	0	4864000000	0	0	0	
22000	11	22976	19456	22976000000	19456000000	1792	1792000000	
23000	11	7936	13312	7936000000	13312000000	896	896000000	
24000	11	23296	0	23296000000	0	1664	1664000000	
25000	11	15296	0	15296000000	0	640	640000000	
26000	11	23104	0	23104000000	0	1792	1792000000	
27000	11	27648	0	27648000000	0	704	704000000	
28000	11	23296	0	23296000000	0	1728	1728000000	
29000	11	22592	0	22592000000	0	768	768000000	
30000	11	24128	0	24128000000	0	1536	1536000000	
31000	11	26432	0	26432000000	0	768	768000000	
32000	11	24576	0	24576000000	0	1536	1536000000	
33000	11	26368	0	26368000000	0	768	768000000	
34000	11	24960	0	24960000000	0	1536	1536000000	
35000	11	25792	0	25792000000	0	896	896000000	
36000	11	25216	1024	25216000000	1024000000	1408	1408000000	
37000	11	25664	0	25664000000	0	1088	1088000000	
38000	11	25664	0	25664000000	0	1216	1216000000	
39000	11	12480	0	12480000000	0	1152	1152000000	
40000	11	24192	0	24192000000	0	1536	1536000000	
41000	11	22528	0	22528000000	0	960	960000000	
42000	11	0	0	0	0	1344	1344000000	
43000	11	0	704	0	704000000	1152	1152000000	
44000	11	0	0	0	0	1152	1152000000	
45000	11	0	0	0	0	1472	1472000000	
46000	11	0	64	0	64000000	1216	1216000000	
47000	11	0	0	0	0	1536	1536000000	
48000	11	0	6720	0	6720000000	1152	1152000000	
49000	11	0	0	0	0	1152	1152000000	
50000	11	0	1856	0	1856000000	768	768000000	
51000	11	0	7488	0	7488000000	0	0	
52000	11	0	1472	0	1472000000	128	128000000	
53000	11	0	0	0	0	384	384000000	
54000	11	0	0	0	0	128	128000000	
55000	11	0	0	0	0	384	384000000	
56000	11	0	0	0	0	256	256000000	
57000	11	0	0	0	0	320	320000000	
58000	11	0	0	0	0	256	256000000	
59000	11	0	0	0	0	384	384000000	
60000	11	0	0	0	0	192	192000000	
61000	11	0	0	0	0	384	384000000	
62000	11	0	0	0	0	256	256000000	
63000	11	0	0	0	0	384	384000000	
64000	11	0	0	0	0	128	128000000	
65000	11	0	0	0	0	448	448000000	
66000	11	0	0	0	0	256	256000000	
67000	11	0	128	0	128000000	320	320000000	
68000	11	0	0	0	0	256	256000000	
69000	11	0	1216	0	1216000000	320	320000000	
70000	11	0	0	0	0	256	256000000	
71000	11	0	64	0	64000000	384	384000000	
72000	11	0	0	0	0	192	192000000	
73000	11	0	512	0	512000000	384	384000000	
74000	11	0	0	0	0	256	256000000	
75000	11	0	0	0	0	320	320000000	
76000	11	0	0	0	0	192	192000000	
77000	11	0	64	0	64000000	384	384000000	
78000	11	0	0	0	0	256	256000000	
79000	11	0	0	0	0	320	320000000	
80000	11	0	0	0	0	256	256000000	
81000	11	0	0	0	0	320	320000000	
82000	11	0	2176	0	2176000000	256	256000000	
83000	11	0	832	0	832000000	0	0	
