Stage	total_cycles	pim_cycles	mem_bw_util	
A	29222	0	89.632597	
B	36744	5945	71.744877	
C	124136	4329	84.812524	
D	121308	6092	86.823983	
E	91729	4548	86.221778	
F	93349	0	84.588413	
