Stage	total_cycles	pim_cycles	mem_bw_util	
A	11277	0	61.660348	
B	14630	10501	49.656528	
C	47552	9516	60.624947	
D	47333	11053	61.192376	
E	32601	9396	67.099744	
F	33506	0	64.762841	
