Stage	total_cycles	pim_cycles	mem_bw_util	
A	60556	0	61.260548	
B	145342	126285	28.652076	
C	250463	48597	61.158509	
D	260789	132243	59.926008	
E	187564	48007	61.889708	
F	175613	0	65.278304	
