Stage	total_cycles	pim_cycles	mem_bw_util	
A	11277	0	61.660348	
B	74332	40376	12.578869	
C	63345	21701	46.958126	
D	73940	40775	41.992917	
E	61775	21287	36.895488	
F	32522	0	66.722334	
