Stage	total_cycles	pim_cycles	mem_bw_util	
A	32390	0	52.648773	
B	41152	34817	43.219042	
C	137726	31312	51.682417	
D	132064	34836	54.115192	
E	106950	30059	50.610040	
F	89494	0	59.983002	
