Stage	total_cycles	pim_cycles	mem_bw_util	
A	8548	0	76.713120	
B	37447	14772	19.760929	
C	46710	15610	58.838311	
D	43983	15770	62.495311	
E	42668	15389	49.043633	
F	24049	0	83.527122	
