Stage	total_cycles	pim_cycles	mem_bw_util	
A	60556	0	61.260548	
B	77168	52688	50.256664	
C	239932	32139	63.496532	
D	253068	54470	60.623726	
E	177357	31985	64.982810	
F	174022	0	65.875112	
