Stage	total_cycles	pim_cycles	mem_bw_util	
A	59268	0	57.341124	
B	63304	20039	54.281522	
C	225857	13467	61.383752	
D	223835	17525	62.016915	
E	167625	13398	62.433743	
F	163925	0	63.720108	
