Stage	total_cycles	pim_cycles	mem_bw_util	
A	59268	0	57.341124	
B	66156	42138	53.400485	
C	225581	24560	61.617335	
D	228877	41369	61.072459	
E	175230	25505	59.928059	
F	162233	0	64.384674	
